rpdzkj@95:~/fourth/loh95/testRecord$ iperf3 -s -i 60
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.1.169, port 56888
[  5] local 192.168.1.95 port 5201 connected to 192.168.1.169 port 46409
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-60.00  sec  6.67 GBytes   955 Mbits/sec  0.025 ms  0/4944247 (0%)
[  5]  60.00-120.00 sec  6.67 GBytes   954 Mbits/sec  0.026 ms  156/4943531 (0.0032%)
[  5] 120.00-180.00 sec  6.64 GBytes   951 Mbits/sec  0.017 ms  0/4924138 (0%)
[  5] 180.00-240.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4944516 (0%)
[  5] 240.00-300.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  606/4945120 (0.012%)
[  5] 300.00-360.00 sec  6.68 GBytes   956 Mbits/sec  0.021 ms  0/4950965 (0%)
[  5] 360.00-420.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  98/4952997 (0.002%)
[  5] 420.00-480.00 sec  6.68 GBytes   956 Mbits/sec  0.023 ms  4/4952957 (8.1e-05%)
[  5] 480.00-540.00 sec  6.68 GBytes   956 Mbits/sec  0.014 ms  0/4952499 (0%)
[  5] 540.00-600.00 sec  6.68 GBytes   956 Mbits/sec  0.018 ms  116/4951874 (0.0023%)
[  5] 600.00-660.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  115/4950693 (0.0023%)
[  5] 660.00-720.00 sec  6.68 GBytes   956 Mbits/sec  0.018 ms  0/4952738 (0%)
[  5] 720.00-780.00 sec  6.67 GBytes   956 Mbits/sec  0.017 ms  0/4949496 (0%)
[  5] 780.00-840.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  221/4947553 (0.0045%)
[  5] 840.00-900.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  13/4947671 (0.00026%)
[  5] 900.00-960.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  87/4952945 (0.0018%)
[  5] 960.00-1020.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  251/4952495 (0.0051%)
[  5] 1020.00-1080.00 sec  6.68 GBytes   956 Mbits/sec  0.015 ms  146/4953009 (0.0029%)
[  5] 1080.00-1140.00 sec  6.68 GBytes   956 Mbits/sec  0.015 ms  219/4952066 (0.0044%)
[  5] 1140.00-1200.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  505/4952182 (0.01%)
[  5] 1200.00-1260.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  0/4945823 (0%)
[  5] 1260.00-1320.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4945730 (0%)
[  5] 1320.00-1380.00 sec  6.67 GBytes   955 Mbits/sec  0.023 ms  28/4945303 (0.00057%)
[  5] 1380.00-1440.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  117/4945685 (0.0024%)
[  5] 1440.00-1500.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  91/4947385 (0.0018%)
[  5] 1500.00-1560.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  29/4944943 (0.00059%)
[  5] 1560.00-1620.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  144/4945532 (0.0029%)
[  5] 1620.00-1680.00 sec  6.67 GBytes   954 Mbits/sec  0.017 ms  0/4943723 (0%)
[  5] 1680.00-1740.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  220/4944266 (0.0044%)
[  5] 1740.00-1800.00 sec  6.67 GBytes   955 Mbits/sec  0.022 ms  222/4948454 (0.0045%)
[  5] 1800.00-1860.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  99/4946789 (0.002%)
[  5] 1860.00-1920.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4947046 (0%)
[  5] 1920.00-1980.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  94/4949157 (0.0019%)
[  5] 1980.00-2040.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  124/4947538 (0.0025%)
[  5] 2040.00-2100.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4944477 (0%)
[  5] 2100.00-2160.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  0/4946086 (0%)
[  5] 2160.00-2220.00 sec  6.67 GBytes   954 Mbits/sec  0.021 ms  0/4943835 (0%)
[  5] 2220.00-2280.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  167/4948275 (0.0034%)
[  5] 2280.00-2340.00 sec  6.67 GBytes   956 Mbits/sec  0.017 ms  0/4949290 (0%)
[  5] 2340.00-2400.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  0/4944521 (0%)
[  5] 2400.00-2460.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  353/4946506 (0.0071%)
[  5] 2460.00-2520.00 sec  6.67 GBytes   954 Mbits/sec  0.016 ms  97/4943638 (0.002%)
